Traffic,Sources,UDP,TCP
1440025,136539,234752,1136685
1467523,136880,237585,1160981
1437640,136905,246876,1120797
1436920,137038,245637,1121826
1465304,136812,243091,1153789
1512550,138169,249158,1193715
1583878,139094,249558,1265906
1516124,138996,248196,1200624
1484488,139441,253069,1165264
1539639,139383,250612,1224227
1518265,139495,252110,1200843
1513928,139051,251246,1191087
1518319,138954,250943,1198751
1528981,139045,250736,1204488
1529595,138840,245285,1216768
1728361,139268,243389,1419831
1956088,139700,247692,1643203
1928407,138984,259709,1599390
1869578,139420,254317,1550814
1865470,139869,252202,1549559
1883651,139847,240106,1578538
1719185,139870,246498,1407974
1436748,139640,244590,1125239
1468504,139354,251825,1149830
1441595,140526,250636,1125543
1467403,141520,257528,1143758
1499123,143361,264730,1167347
1480927,143358,265117,1146180
1487241,142333,259575,1159038
1502561,143231,263725,1170816
1510194,143558,253278,1188253
1503454,142444,263259,1169340
1496497,143463,264156,1158882
1530447,143349,271642,1189088
1596374,143262,271103,1256789
1592880,142920,261079,1253036
1598816,143468,266583,1254598
1560034,143338,266917,1222440
1557538,142673,267789,1215863
1500658,142507,259332,1169678
1494110,142302,259457,1165193
1511617,139873,256060,1187607
1539605,140268,252808,1215958
1454180,140726,257273,1129039
1488334,141986,261445,1160488
1479513,141089,246781,1166634
1453552,141097,239217,1148357
1438036,141154,238268,1133834
1426539,140569,243003,1117063
1452120,141281,246519,1140325
1428596,142257,241695,1123170
1440621,142954,256155,1116493
1410784,141832,253552,1088093
1410084,142083,253694,1087247
1413324,141868,252979,1091081
1443690,142629,249992,1124321
1404912,141026,243090,1095267
1468945,140980,250074,1153151
1464104,141450,252369,1146368
1470308,141825,255819,1146703
1490612,142340,261737,1159470
1493985,142579,263753,1161575
1436694,142190,259017,1109914
1432833,143074,261593,1101154
1425443,142303,257799,1099532
1454920,143428,250416,1110169
1444324,142828,251661,1096980
1457992,143612,243603,1141075
1453717,142072,236850,1147780
1481782,142589,244557,1168325
1505133,142509,237828,1197267
1512572,143187,241048,1203274
1484503,142372,241424,1176679
1514513,143304,240182,1208894
1519558,142099,233173,1220363
1492965,141918,224558,1200797
1484590,141960,235199,1181371
1484968,141933,240415,1176545
1476517,142007,231385,1177850
1463766,141703,232492,1163149
1445559,140750,222776,1154937
1509286,141324,234890,1207417
1506981,140631,231058,1208794
1470438,141148,226497,1177152
1460636,142109,237030,1157285
1429418,143412,240188,1120562
1411805,142773,236386,1106704
1601745,142631,239067,1292972
1486839,142334,243305,1175860
1414363,142339,244412,1102113
1433010,143066,249100,1115104
1425902,144098,237688,1121189
1433182,143665,251494,1114701
1432173,143784,251399,1113316
1435244,143789,239500,1130496
1454726,143627,242365,1146936
1500481,142487,238940,1197594
1477367,142357,235199,1178130
1508733,142854,244445,1197789
1493446,142061,239791,1188555
1493778,141517,250951,1171953
1483815,141552,250263,1153881
1466959,142335,244665,1157349
1517759,143564,244246,1208851
1479468,143750,247189,1166380
1546179,143059,249852,1228816
1480597,143235,244504,1169373
1491789,143612,242050,1183175
1781536,143757,249954,1464400
1479191,143223,251172,1161318
1457570,144017,241187,1149831
1455373,143794,243393,1145551
1442136,143982,245006,1132450
1466069,144509,244574,1154803
1457105,144880,245868,1144635
1475398,143310,246839,1162222
1497972,143679,238871,1192408
1484938,143364,237453,1180120
1405509,143626,238667,1100403
1459936,143273,234675,1159261
1466736,142843,221778,1180583
1487479,142695,237660,1185375
1482335,142190,223896,1192590
1542771,142959,213512,1261851
1542579,141980,230984,1245833
1437201,140929,235737,1135556
1578085,141665,242975,1269747
1454561,142208,238364,1150149
1519359,141886,240969,1211801
1534496,142621,237677,1231457
1602025,142122,238039,1298999
1483739,142397,239537,1178900
1515484,143077,237452,1212422
1513877,142291,239850,1208254
1512166,142759,234017,1214006
1532917,142638,224677,1242767
1525628,142134,226567,1232192
1477969,141467,230639,1176567
1471576,141685,236168,1167327
1488052,141447,239260,1182533
1509937,141043,241615,1202678
